"ID","X","Y","Date","OCSKGM","type","top","bottom","aridez.sdat","Aspect.sdat","biocl1.sdat","biocl12.sdat","biocl2.sdat","biocl5.sdat","CatchmentArea.sdat","Curvature.sdat","gcarb.sdat","geaisg3a_ARG","LSTDm.sdat","LSTDs.sdat","Mid.SlopePositon.sdat","MRRTF.sdat","MRVBF.sdat","NormalizedHeight.sdat","PCEVI1.sdat","PCEVI2.sdat","PCEVI3.sdat","PlanCurvature.sdat","ProfileCurvature.sdat","Slope.sdat","SlopeHeight.sdat","soiltypes","srtm_w_250m.sdat","StandardizedHeight.sdat","treecov.sdat","TRI.sdat","TWI.sdat","ValleyDepth.sdat","ARG_probHist_soilGrids"
"data1",-61.840879,-23.85651,"2011-01-01 00:00:00",5.26286559621907,"SP",0,30,19,1.50376233230514,23,656.882907484125,138,35,62500,3.88252664735523e-05,12600,72,28,254.235756236771,0.174148720425423,3.5216082245148,6.65856404314775,0.412925639787288,3693.81022038099,-606.462085243411,-42.886049894169,2.34667757254798e-05,1.53584915693223e-05,0.00409077100904613,4.71131786808358,14,184.14272459579,-233.670322885244,45.9414537420627,1.07183050611016,16.6000512220659,6.69835612825595,1.11373210788424
"data2",-61.84256,-23.86006,"2011-01-01 00:00:00",3.37682375219334,"SP",0,30,19,3.29728136821808,23,659.357104410191,138,35,62500,6.09901902821229e-05,11296.5689028009,72,27.6428955898085,255.642895589808,0.173801710079846,3.98983421099614,6.6565983520555,0.413099144960077,3642.64289558981,-572.928686769425,-60.9281485121069,1.9683019621625e-05,4.13071705428906e-05,0.00386853407386682,4.755131443427,14,184.458835255565,-233.348706154507,45.9286867694254,1.30319822179663,16.6937619874842,6.75569896174193,1.26820111754434
"data3",-61.84619,-23.87391,"2011-01-01 00:00:00",6.57623165238629,"SP",0,30,19,4.11488653465531,23,659.384276961697,138,35,62500,4.20881533756429e-05,11197.389089805,72,27.6157230383027,255.615723038303,0.179437944146692,4.10050932937624,6.6584398602872,0.410281027926654,3642.6157230383,-572.847169114908,-61.2270465786699,9.74195114693081e-06,3.23462028876687e-05,0.0038162524253358,4.76647908884051,14,184.058789193216,-235.528413833971,45.8471691149082,1.02325696851149,16.6525958116856,6.8507856034625,1.23638315866333
"data4",-61.8755,-23.88307,"2011-01-01 00:00:00",5.94689058355543,"SP",0,30,18,3.86851585591993,23,660,138,35,98734.1846811975,-3.78995573180677e-06,8950,72,27,255,0.167459150328841,4.12022349250555,6.65804060963613,0.41627042483558,3642,-571,-68,-6.06400349544329e-07,-3.18355557185153e-06,0.00563949836472147,5.03063530466975,14,184.925662659845,-231.197651133299,44,1.29172879086495,16.5761210839255,7.05508445555374,0.974430173451676
"data5",-61.79123,-23.89972,"2011-01-01 00:00:00",3.47074448889651,"SP",0,30,19,3.79386209572625,23,660.529235506758,138,35,72288.997063258,7.87070217478863e-05,12600,72,27,253.686157004505,0.168742621854697,4.55341553549113,7.0340952220689,0.415628689072651,3738.01224215651,-609.550723434672,-57.9600205292851,3.56794350177356e-05,4.30275843886767e-05,0.00870729036101062,5.18863533102204,14,183.297815129757,-232.038595591987,46.1569214977473,2.20440136458927,15.9560285943999,7.2951176360599,2.50774706940649
"data6",-61.88488,-23.9039,"2011-01-01 00:00:00",3.50540752540773,"SP",0,30,18,2.41694285701165,23,669,138,35,239628.532451936,-4.91077308630503e-05,4810,72,27,260,0.205361709833514,4.40510482900765,6.66153491203694,0.397319145083243,3562,-583,-59,-3.3363317729861e-05,-1.57444131945327e-05,0.00580984333222751,5.01775007065229,14,183.426512212742,-245.239240961571,44,2.27744438349053,17.45216625539,7.6113998924096,1.05589068478355
"data7",-61.89862,-23.90885,"2011-01-01 00:00:00",6.5233910937426,"SP",0,30,18,3.89607653072253,23,669,138,35,67694.3019272435,2.48228514564587e-05,4810,72,27,260,0.206142193026422,4.56431838326487,6.66324412662245,0.396928903486789,3562,-583,-59,6.72487516193714e-06,1.80979756415957e-05,0.00307981267915122,5.17664792046922,14,186.916764317985,-243.995475724716,44,0.784465629381796,16.9481051663465,7.86453319699265,1.33873319499447
"data8",-61.90078,-23.91187,"2011-01-01 00:00:00",2.33496522801154,"SP",0,30,18,2.90202131683426,23,667.589355427229,138,35,68378.1238610589,1.55117667988565e-06,8472.9737406291,72,27,259.059570284819,0.200840557031961,4.57119017620778,6.66416523328798,0.39957972148402,3641.46631093277,-588.642578291085,-43.0126948419269,-7.15577525236034e-07,2.26675430353515e-06,0.00452125092401712,5.25867880464594,14,187,-241.933081877358,42.1191405696385,0.909288031050054,16.7112253148132,7.9021219010025,2.06878407337133
"data9",-61.773,-23.91247,"2011-01-01 00:00:00",2.14100674076615,"SP",0,30,19,2.33134405076077,23,664,138,35,87268.4809118417,-1.83965441345423e-05,12600,72,27,256,0.15629703922272,4.61425536347939,7.26859538552197,0.42185148038864,3690,-576,-73,2.9469547139836e-06,-2.13434992509953e-05,0.00367988905186432,5.54626926386169,14,182,-228.485446341715,45,0.949571136458079,16.9711032573439,7.6013093397035,2.08982995977358
"data10",-61.8739,-23.94058,"2011-01-01 00:00:00",4.16367621474152,"SP",0,30,19,3.2513747760538,23,669,138,35,79738.452463519,-3.41687721022185e-05,4810,72,27,260,0.220437737641504,4.66826706978566,6.6643959452223,0.389781131179248,3562,-583,-59,-1.03223831183339e-05,-2.38463893027722e-05,0.00612533124543688,5.35151348068788,14,186.295504696105,-249.466061229182,44,2.16383444345447,16.5991160910755,8.37803704242256,0.941835022803905
"data11",-61.85047,-23.95454,"2011-01-01 00:00:00",2.13705561598118,"SP",0,30,19,2.7270021597464,23,667.003830746015,138.350563334841,35,80180.6884555825,-3.86389450528989e-06,10323.3075811519,72,27.1518347687113,254.971027324176,0.220998443585429,4.69495589120736,6.67448343608041,0.389500778207286,3725.13224038205,-583.083917525406,-51.2045308501799,-1.66934091843419e-05,1.28295146077212e-05,0.00348162291953612,5.62382413129619,14,184.502398103553,-250.479586629129,45.3553595419468,0.939893888568845,16.9400294918001,8.8148934898019,1.26454989790148
"data12",-61.72734,-23.95943,"2011-01-01 00:00:00",7.2258468343361,"SP",0,30,19,0.429590547374191,23,667,138,35,62516.5787905944,7.06496231514439e-05,12600,72,27,253,0.137105647835334,4.70279164671582,7.5436023412521,0.431447176082333,3709,-576,-68,3.05908539534151e-05,4.00587684267105e-05,0.0055801799395604,5.80159710136955,14,181.78761431065,-221.67269304471,49,1.64187961637831,16.2777172495602,7.64551627188719,1.96565963808687
"data13",-61.74446,-23.96123,"2011-01-01 00:00:00",4.51459824692046,"SP",0,30,19,3.32362504872009,23,667.974276491689,138,35,62825.3117313723,9.56974841483891e-06,12600,72,27,252.512861754155,0.156547630368139,4.71302509041151,7.487670124031,0.421726184815931,3711.92282947507,-582.332797195982,-58.7443733289498,8.57122486951716e-07,8.71262602753426e-06,0.00120935144740625,5.70800664295692,14,182.485462559512,-228.163608080598,48.5128617541553,0.646803218728413,17.5467613540883,7.82695587488684,2
"data14",-61.90058,-23.96401,"2011-01-01 00:00:00",10.8677502522753,"SP",0,30,18.1724844493524,3.43970240816624,23,667.631394540668,139,35,114047.701441986,-3.96944932684995e-05,12600,72,27,255.894183622004,0.207484925436943,4.62778194786547,6.66832091786735,0.396257537281528,3784.21864021061,-576.631394540668,-50.211632755992,-2.39126832822321e-05,-1.57818108341082e-05,0.00222097998888876,5.66065703924429,14,187.163456681948,-244.357013200249,45.105816377996,1.29485943639649,17.6147116660228,8.62465215702353,2.32732943369215
"data15",-61.872677,-23.973008,"2011-01-01 00:00:00",5.91332280183137,"SP",0,30,19,1.96628027094239,23,667,139,35,134060.123384032,-4.15915770755721e-05,12600,72,27,254,0.222624970278222,4.67361017817692,6.66891825336605,0.388687514860889,3812,-576,-54,-2.38927288224996e-05,-1.76988470492334e-05,0.00336224719858124,5.86265951542298,14,185,-250.814437958468,47,1.03994979432221,17.5079876940483,9.22056972126126,2.09134838832068
"data16",-61.956582,-23.979417,"2011-01-01 00:00:00",2.58889103448446,"SP",0,30,18,4.83670072160579,23,667.217734218703,139,35,72360.1898540558,-9.20060031697564e-06,3009.42152129451,72,27,258.564531562595,0.151770377185072,4.42490450313084,6.67467001345409,0.424114811407464,3719.49952155956,-553.53202656108,-55.8226578129735,-2.34366709727174e-06,-6.85693284388434e-06,0.00272929494444072,5.86210564217034,1,186.771507372217,-224.840168996552,43.2177342187027,1.23656029218992,17.4423942038336,7.96041202162676,1.94479096414774
"data17",-61.91354,-23.98036,"2011-01-01 00:00:00",5.88277654277077,"SP",0,30,18,4.59913190175424,23,668,139,35,127876.005485674,-2.55758459136116e-05,12600,72,27,257,0.205257677498592,4.60285463636918,6.67030062410385,0.397371161250704,3768,-577,-48,-1.69324021130123e-05,-8.64344323457692e-06,0.0037477034587021,5.60751025355218,14,186.242331845725,-244.176801706413,44,1.0420395822054,17.3215753540615,8.50483586588245,1.98595715916943
"data18",-61.91931,-23.98552,"2011-01-01 00:00:00",4.94308605463996,"SP",0,30,18,4.30474563011325,23,668,139,35,72393.4017942257,4.64372334594749e-05,12600,72,27,257,0.2002676485913,4.54865932856494,6.67163193377666,0.39986617570435,3768,-577,-48,1.57942056596671e-05,3.06430269700825e-05,0.00778661843430583,5.51072449760121,12.9724324537579,186.094866892426,-242.321412203712,44,1.79720779537982,16.0287486225863,8.2712416954029,1.68786735703354
"data19",-61.79919,-23.98725,"2011-01-01 00:00:00",7.30987946929338,"SP",0,30,19,5.51162392533516,23,669,138,35,160429.992470267,1.50996003941545e-05,12600,72,27,252,0.184151761605757,4.70226276872131,7.16858506149189,0.407924119197121,3715,-589,-49,3.61243786426505e-06,1.14871621876506e-05,0.00159997913790637,6.09879358478419,14,182.854292244324,-237.966142541539,48,1.26513762552747,17.9435497999961,8.85204483227372,2.07515217611985
"data20",-61.799221,-23.989336,"2011-01-01 00:00:00",2.50498264944882,"SP",0,30,19,5.51162392533516,23,669,138,35,160429.992470267,1.50996003941545e-05,12600,72,27,252,0.184151761605757,4.70226276872131,7.16858506149189,0.407924119197121,3715,-589,-49,3.61243786426505e-06,1.14871621876506e-05,0.00159997913790637,6.09879358478419,14,182.854292244324,-237.966142541539,48,1.26513762552747,17.9435497999961,8.85204483227372,2.07515217611985
"data21",-61.848777,-23.994674,"2011-01-01 00:00:00",5.5693088774491,"SP",0,30,19,4.46926832886258,23,668.703151158034,138,35,95745.4273686236,-1.24092871561865e-05,10938.0650999906,72,27,254.065672084461,0.229659570391176,4.67603843836135,6.71122700860794,0.385170214804412,3719.00529784757,-549.046430313424,-62.3064697274845,-1.90999537396192e-05,6.69066707473958e-06,0.00329887568125487,6.07154175786525,14,184.065998711385,-253.548606787393,44.3406302316068,1.17277557714177,17.2167141090806,9.6923853321089,1.61093001241816
"data22",-61.94044,-24.00294,"2011-01-01 00:00:00",3.9977483354492,"SP",0,30,18,3.56340919032505,23,668.992243618895,139,35,72609.9758102932,-3.08996921595541e-06,12600,72,27,256.007756381105,0.187785736810916,4.40637064624364,6.67424399530564,0.406107131594542,3715.41108819855,-539.294742481979,-61.8914106645342,-1.06693502329093e-05,7.57938101721964e-06,0.00607725047476468,5.62585246687956,1,184.99351073754,-238.112655788367,42.0155127622094,1.4289624565625,16.2703869989433,8.22741854209263,2
"data23",-61.87813,-24.00884,"2011-01-01 00:00:00",2.47653554832605,"SP",0,30,19,1.31034101988893,23,670,138,35,172669.277226373,-6.13039570542625e-05,12600,72,27,261,0.22596121000959,4.59795062619308,6.67250283131445,0.387019394995205,3689,-608,-77,-4.53902794292837e-05,-1.59136751249471e-05,0.00555337954477098,5.80765535400893,1,182.448489105955,-252.95417645386,44,1.7683818970651,17.1627555235411,9.19850455535259,1.94141257924627
"data24",-61.839024,-24.046369,"2011-01-01 00:00:00",1.77446035348651,"SP",0,30,19,1.26231144934477,23,672,138,35,230670.661503409,-0.000126686362040208,7721,72,27,260,0.246420576801284,4.49452054760427,6.80809323218433,0.376789711599358,3599,-493,-90,-5.46146298891055e-05,-7.20717262211121e-05,0.0229495254062549,5.68557960769454,1,175.862661812671,-262.738411332104,45,4.69240954075365,16.1045518743393,9.40116684933129,0.304975865820633
"data25",-62.260314,-28.848964,"2003-01-01 00:00:00",7.45130003983939,"SP",0,30,25,4.53025437721738,20,783.797631611906,146,35,90496.3034807098,7.01084125460466e-05,872.892778566051,72,31,347.604144679165,0.294637528295184,5.70747877914268,7.94642544843788,0.352681235852408,3495.47874890413,-760.243815179739,45.8834856803138,5.46361494988712e-05,1.54722576249604e-05,0.00624567956152955,5.82838798091246,14,91.7794206630117,-309.155571945232,7.59526322381198,1.98446643589751,16.2851754016108,10.6976851300859,0.368537226935896
"data26",-62.260628,-28.849581,"2003-01-01 00:00:00",6.58920779238647,"SP",0,30,25,4.53025437721738,20,783.797631611906,146,35,90496.3034807098,7.01084125460466e-05,872.892778566051,72,31,347.604144679165,0.294637528295184,5.70747877914268,7.94642544843788,0.352681235852408,3495.47874890413,-760.243815179739,45.8834856803138,5.46361494988712e-05,1.54722576249604e-05,0.00624567956152955,5.82838798091246,14,91.7794206630117,-309.155571945232,7.59526322381198,1.98446643589751,16.2851754016108,10.6976851300859,0.368537226935896
"data27",-60.009032,-34.713502,"1968-05-20 00:00:00",8.2218135401207,"SP",0,30,39,4.34906236609715,16,967,134,31,345973.661783457,-6.5038761317197e-05,2982,72,23,379,0.431217508575194,9.58564746338112,7.95112023907371,0.715608754287597,4123,-525,335,-3.89912035633732e-05,-2.60475576954509e-05,0.00223678665928032,19.6292334657327,14,56.669381676932,-109.583289903256,27,1.39440750831809,18.5177711792845,7.80074069509293,0.104389085437276
"data28",-60.053339,-34.736494,"1968-05-22 00:00:00",8.07095002583091,"SP",0,30,39,2.24318031342198,16,966.10669256762,134,31,127560.584344473,-3.782691505087e-05,702.279432565078,72,23,365.600388514293,0.411797890682023,9.57045505941343,7.94941194765484,0.705898945341011,3904.13967906679,-835.870986468398,449.343351344698,-8.11932981018601e-06,-2.97075853709474e-05,0.00402027169147321,18.3518588770429,14,58.9878324257092,-113.578835785108,18.9602331085759,1.10549999663412,17.2035047965383,7.64483852912333,0.515233091507073
"data29",-60.036869,-34.739024,"1968-05-23 00:00:00",8.5670494796634,"SP",0,30,39,3.97415852779273,16,967,134,31,91802.9752306806,-5.62984207373621e-06,2982,72,23,379,0.418687691808206,9.57702551604056,7.94979811380684,0.709343845904103,4123,-525,335,-1.31032856416361e-05,7.47344309930187e-06,0.00445126057647489,19.0350780332907,14,58.9915676640302,-111.368577528355,27,0.873589176889211,16.8045215070286,7.79995522649341,1.23960295239107
"data30",-60.435278,-34.908333,"1968-04-23 00:00:00",7.78693006502487,"SP",0,30,39,3.31445775421131,16,979,133,31,100538.751616228,-3.19138213475937e-05,436,72,23,362,0.388927735533165,9.04664805706293,7.93137338478339,0.694463867766582,3525,-855,495,-2.15498357543453e-06,-2.97588387865777e-05,0.00380756796695943,15.8375435405378,3,56.60153695109,-121.742973930199,35,1.25201312256237,17.0535597509403,6.96735798818219,0.810037110321156
"data31",-60.239167,-34.819722,"1967-10-25 00:00:00",7.36720807078552,"SP",0,30,39,2.89399879646483,16,964,133,31,117949.370729962,2.11540851052048e-05,400,72,24,375,0.442457679152244,9.46782682269145,7.94170822824584,0.721228839576122,3848,-683,394,1.68790513647774e-05,4.27503385300814e-06,0.0081030661143453,23.1536646563165,14,59.1237837608653,-104.066626594542,35,1.97604843781548,16.4768272855587,8.94814187477631,0.016391322067786
"data32",-60.23577,-31.633018,"1972-10-10 00:00:00",7.55380046879323,"SP",0,30,38,4.56944001229969,18,983,120,32,95602.3335214816,4.58773891200743e-06,530,72,25,338,0.0712327712585196,5.49905633192173,7.97856132482171,0.53561638562926,3800,-525,356,2.72029267400086e-05,-2.26151859624011e-05,0.0164315590514582,17.7221985840214,14,86.1962605157961,-198.792823213974,21,3.13883749160299,15.6084817551669,15.3500953065893,0
"data33",-59.876597,-31.345804,"1973-04-10 00:00:00",8.7588060937374,"SP",0,30,39,2.5941987005111,18,1020,121,32,101454.538905621,-2.68128938400819e-05,980,72,26,358,0.00664891510489536,7.16998931464723,7.98247344922435,0.501588052344402,3707,-347,235,-2.10750845195151e-05,-5.7378095730617e-06,0.0127675040036944,14.0614978185433,19,62.7824741951924,-231.274890239019,29,2.47709062336122,15.9394107383468,13.972988742591,0.146133202171274
"data34",-59.610584,-31.450136,"1973-04-12 00:00:00",7.15987702995982,"SP",0,30,39,0.948887744013983,18,1040,121,32,169662.948049148,-4.37555743544929e-06,5300,72,25,345,0.00252038258046109,9.44165778647563,7.98228317296246,0.499119566458917,3827,-413,211,-4.7650599569627e-06,3.89502521569672e-07,0.00191909506385821,7.81437349668771,1,81.6101362688917,-223.732141132583,41,1.13871500479935,17.8559191574675,7.84194363521765,0.778446135598451
"data35",-59.415956,-31.324498,"1973-04-14 00:00:00",8.61247806794506,"SP",0,30,40,3.35348018521014,18,1059,122,32,89199.447824592,7.07786106355861e-06,800,72,26,374,0.017682152417684,9.60795165073475,7.98238503087035,0.508841076208842,3822,-292,204,-2.13875144963026e-06,9.21661375258518e-06,0.0050660046128622,7.11721991886282,5.88254668098036,77.9651021473735,-219.630535740211,50,1.25386053079602,16.7430446055015,6.86989738312369,0.832307356288053
