"ID","X","Y","Date","OCSKGM","type","top","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"data1221",-64.3922,-32.0642,1998-02-25,18.5832391974622,"SP",0,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622,18.5832391974622
"data1222",-63.2392,-33.4603,1986-11-03,4.18057582253122,"SP",0,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594,2.88611904714594
"data1223",-61.047639,-35.758889,2010-09-30,2.67544463295429,"SP",0,2.79583964143723,2.77577380669008,2.75570797194292,2.73564213719576,2.7155763024486,2.69551046770145,2.7155763024486,2.73564213719576,2.70801817136051,2.68039420552526,2.65277023969
"data1224",-60.759639,-35.496306,2010-09-30,4.567809877622,"SP",0,4.77336132211499,4.73910274803283,4.70484417395066,4.6705855998685,4.63632702578633,4.60206845170417,4.63632702578633,4.6705855998685,4.62342296288205,4.5762603258956,4.52909768890915
"data1225",-60.760194,-35.498028,2010-10-01,1.87539725890256,"SP",0,1.95979013555318,1.94572465611141,1.93165917666964,1.91759369722787,1.9035282177861,1.88946273834433,1.9035282177861,1.91759369722787,1.8982302205297,1.87886674383153,1.85950326713336
"data1226",-68.585806,-52.754528,2011-02-22,11.3880454457888,"SP",0,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888,11.3880454457888
"data1227",-63.0628,-33.3722,1986-11-04,4.54645752153808,"SP",0,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911,3.13871060039911
"data1228",-64.1281,-30.6267,2000-06-07,6.07835249572699,"SP",0,5.50507875844499,5.48745153620739,5.46982431396978,5.45219709173217,5.43456986949456,5.41694264725695,5.39931542501934,5.38168820278174,5.36406098054413,5.44611266088395,5.52816434122377
"data1229",-62.6839,-32.2964,1971-07-21,6.01040351004621,"SP",0,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514,5.58498714960514
"data1230",-63.1528,-31.5806,1975-11-20,4.70529876056555,"SP",0,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006,4.10386747299006
"data1231",-68.587889,-52.853889,2011-02-22,8.34711065986671,"SP",0,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671,8.34711065986671
"data1232",-68.5115,-53.047333,2011-02-23,17.2257260430882,"SP",0,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882,17.2257260430882
