"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"-23.85651-61.840879",-61.840879,-23.85651,2011-01-01 00:00:00,5.17614456331501,"","SP",0,30
"-23.86006-61.84256",-61.84256,-23.86006,2011-01-01 00:00:00,3.09274119077418,"","SP",0,30
"-23.87391-61.84619",-61.84619,-23.87391,2011-01-01 00:00:00,7.33801326448558,"","SP",0,30
"-23.88307-61.8755",-61.8755,-23.88307,2011-01-01 00:00:00,6.54536573700607,"","SP",0,30
"-23.89972-61.79123",-61.79123,-23.89972,2011-01-01 00:00:00,3.18324805748501,"","SP",0,30
"-23.9039-61.88488",-61.88488,-23.9039,2011-01-01 00:00:00,3.1839982453885,"","SP",0,30
"-23.90885-61.89862",-61.89862,-23.90885,2011-01-01 00:00:00,6.58792603422449,"","SP",0,30
"-23.91187-61.90078",-61.90078,-23.91187,2011-01-01 00:00:00,2.03643076557265,"","SP",0,30
"-23.91247-61.773",-61.773,-23.91247,2011-01-01 00:00:00,1.9381180425943,"","SP",0,30
"-23.94058-61.8739",-61.8739,-23.94058,2011-01-01 00:00:00,4.25670703868433,"","SP",0,30
"-23.95454-61.85047",-61.85047,-23.95454,2011-01-01 00:00:00,1.91255234950973,"","SP",0,30
"-23.95943-61.72734",-61.72734,-23.95943,2011-01-01 00:00:00,8.45270821017606,"","SP",0,30
"-23.96123-61.74446",-61.74446,-23.96123,2011-01-01 00:00:00,4.28258626813794,"","SP",0,30
"-23.96401-61.90058",-61.90058,-23.96401,2011-01-01 00:00:00,13.8845263863352,"","SP",0,30
"-23.973008-61.872677",-61.872677,-23.973008,2011-01-01 00:00:00,5.77467236027476,"","SP",0,30
"-23.979417-61.956582",-61.956582,-23.979417,2011-01-01 00:00:00,2.29291959988842,"","SP",0,30
"-23.98036-61.91354",-61.91354,-23.98036,2011-01-01 00:00:00,6.3556433083799,"","SP",0,30
"-23.98552-61.91931",-61.91931,-23.98552,2011-01-01 00:00:00,5.04217888604997,"","SP",0,30
"-23.98725-61.79919",-61.79919,-23.98725,2011-01-01 00:00:00,7.61611977630888,"","SP",0,30
"-23.989336-61.799221",-61.799221,-23.989336,2011-01-01 00:00:00,2.21451747490835,"","SP",0,30
"-23.994674-61.848777",-61.848777,-23.994674,2011-01-01 00:00:00,5.37896714192613,"","SP",0,30
"-24.00294-61.94044",-61.94044,-24.00294,2011-01-01 00:00:00,3.97179789302195,"","SP",0,30
"-24.00884-61.87813",-61.87813,-24.00884,2011-01-01 00:00:00,2.18529323460736,"","SP",0,30
"-24.046369-61.839024",-61.839024,-24.046369,2011-01-01 00:00:00,1.64671326647734,"","SP",0,30
"-28.848964-62.260314",-62.260314,-28.848964,2003-01-01 00:00:00,8.53692032581859,"","SP",0,30
"-28.849581-62.260628",-62.260628,-28.849581,2003-01-01 00:00:00,7.24782748662099,"","SP",0,30
"1145",-60.009032,-34.713502,1968-05-20 00:00:00,10.2491353758338,"sisINTA","SP",0,30
"1171",-60.053339,-34.736494,1968-05-22 00:00:00,9.77945790821502,"sisINTA","SP",0,30
"1172",-60.036869,-34.739024,1968-05-23 00:00:00,10.7616806643442,"sisINTA","SP",0,30
"1176",-60.435278,-34.908333,1968-04-23 00:00:00,9.3990374263963,"sisINTA","SP",0,30
"1183",-60.239167,-34.819722,1967-10-25 00:00:00,8.77964689027306,"sisINTA","SP",0,30
"1191",-60.23577,-31.633018,1972-10-10 00:00:00,8.92942256213722,"sisINTA","SP",0,30
"1192",-59.876597,-31.345804,1973-04-10 00:00:00,10.9228705541257,"sisINTA","SP",0,30
"1193",-59.610584,-31.450136,1973-04-12 00:00:00,7.5541512753636,"sisINTA","SP",0,30
"1195",-59.415956,-31.324498,1973-04-14 00:00:00,9.36794588532496,"sisINTA","SP",0,30
"1196",-60.051756,-31.677787,1972-10-11 00:00:00,5.5600160109478,"sisINTA","SP",0,30
"1197",-58.107506,-31.368714,1972-06-02 00:00:00,1.01265403975162,"sisINTA","SP",0,30
"1198",-59.762611,-31.389848,1973-04-11 00:00:00,9.30685236322829,"sisINTA","SP",0,30
"1199",-59.847194,-31.485665,1973-04-12 00:00:00,8.89128432900563,"sisINTA","SP",0,30
"1200",-59.782758,-31.387484,1973-04-12 00:00:00,6.75326763277416,"sisINTA","SP",0,30
"1201",-59.61881,-31.366425,1973-04-13 00:00:00,6.89539840773895,"sisINTA","SP",0,30
