"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"-23.85651-61.840879",-61.840879,-23.85651,2011-01-01,5.17614456331501,"","SP",0,30,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501,5.17614456331501
"-23.86006-61.84256",-61.84256,-23.86006,2011-01-01,3.09274119077418,"","SP",0,30,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418,3.09274119077418
"-23.87391-61.84619",-61.84619,-23.87391,2011-01-01,7.33801326448558,"","SP",0,30,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558,7.33801326448558
"-23.88307-61.8755",-61.8755,-23.88307,2011-01-01,6.54536573700607,"","SP",0,30,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607,6.54536573700607
"-23.89972-61.79123",-61.79123,-23.89972,2011-01-01,3.18324805748501,"","SP",0,30,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501,3.18324805748501
"-23.9039-61.88488",-61.88488,-23.9039,2011-01-01,3.1839982453885,"","SP",0,30,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885,3.1839982453885
"-23.90885-61.89862",-61.89862,-23.90885,2011-01-01,6.58792603422449,"","SP",0,30,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449,6.58792603422449
"-23.91187-61.90078",-61.90078,-23.91187,2011-01-01,2.03643076557265,"","SP",0,30,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265,2.03643076557265
"-23.91247-61.773",-61.773,-23.91247,2011-01-01,1.9381180425943,"","SP",0,30,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943,1.9381180425943
"-23.94058-61.8739",-61.8739,-23.94058,2011-01-01,4.25670703868433,"","SP",0,30,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433,4.25670703868433
"-23.95454-61.85047",-61.85047,-23.95454,2011-01-01,1.91255234950973,"","SP",0,30,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973,1.91255234950973
"-23.95943-61.72734",-61.72734,-23.95943,2011-01-01,8.45270821017606,"","SP",0,30,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606,8.45270821017606
"-23.96123-61.74446",-61.74446,-23.96123,2011-01-01,4.28258626813794,"","SP",0,30,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794,4.28258626813794
"-23.96401-61.90058",-61.90058,-23.96401,2011-01-01,13.8845263863352,"","SP",0,30,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352,13.8845263863352
"-23.973008-61.872677",-61.872677,-23.973008,2011-01-01,5.77467236027476,"","SP",0,30,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476,5.77467236027476
"-23.979417-61.956582",-61.956582,-23.979417,2011-01-01,2.29291959988842,"","SP",0,30,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842,2.29291959988842
"-23.98036-61.91354",-61.91354,-23.98036,2011-01-01,6.3556433083799,"","SP",0,30,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799,6.3556433083799
"-23.98552-61.91931",-61.91931,-23.98552,2011-01-01,5.04217888604997,"","SP",0,30,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997,5.04217888604997
"-23.98725-61.79919",-61.79919,-23.98725,2011-01-01,7.61611977630888,"","SP",0,30,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888,7.61611977630888
"-23.989336-61.799221",-61.799221,-23.989336,2011-01-01,2.21451747490835,"","SP",0,30,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835,2.21451747490835
"-23.994674-61.848777",-61.848777,-23.994674,2011-01-01,5.37896714192613,"","SP",0,30,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613,5.37896714192613
"-24.00294-61.94044",-61.94044,-24.00294,2011-01-01,3.97179789302195,"","SP",0,30,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195,3.97179789302195
"-24.00884-61.87813",-61.87813,-24.00884,2011-01-01,2.18529323460736,"","SP",0,30,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736,2.18529323460736
"-24.046369-61.839024",-61.839024,-24.046369,2011-01-01,1.64671326647734,"","SP",0,30,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734,1.64671326647734
"-28.848964-62.260314",-62.260314,-28.848964,2003-01-01,8.53692032581859,"","SP",0,30,8.15877743998646,8.13402037104158,8.10926330209671,8.08450623315183,8.05974916420696,8.03499209526209,8.01023502631721,7.98547795737234,7.96072088842746,8.07596077590569,8.19120066338392
"-28.849581-62.260628",-62.260628,-28.849581,2003-01-01,7.24782748662099,"","SP",0,30,6.92678496810111,6.90576626838991,6.88474756867871,6.86372886896751,6.84271016925631,6.82169146954511,6.80067276983391,6.77965407012271,6.75863537041151,6.8564737936534,6.9543122168953
"1145",-60.009032,-34.713502,1968-05-20,10.2491353758338,"sisINTA","SP",0,30,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472
"1171",-60.053339,-34.736494,1968-05-22,9.77945790821502,"sisINTA","SP",0,30,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698
"1172",-60.036869,-34.739024,1968-05-23,10.7616806643442,"sisINTA","SP",0,30,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772
"1176",-60.435278,-34.908333,1968-04-23,9.3990374263963,"sisINTA","SP",0,30,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433
"1183",-60.239167,-34.819722,1967-10-25,8.77964689027306,"sisINTA","SP",0,30,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432
"1191",-60.23577,-31.633018,1972-10-10,8.92942256213722,"sisINTA","SP",0,30,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533
"1192",-59.876597,-31.345804,1973-04-10,10.9228705541257,"sisINTA","SP",0,30,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102
