"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005","optional"
"-28.848964-62.260314",-62.260314,-28.848964,2003-01-01,8.53692032581859,"","SP",0,30,8.15877743998646,8.13402037104158,8.10926330209671,8.08450623315183,8.05974916420696,8.03499209526209,8.01023502631721,7.98547795737234,7.96072088842746,8.07596077590569,8.19120066338392,TRUE
"-28.849581-62.260628",-62.260628,-28.849581,2003-01-01,7.24782748662099,"","SP",0,30,6.92678496810111,6.90576626838991,6.88474756867871,6.86372886896751,6.84271016925631,6.82169146954511,6.80067276983391,6.77965407012271,6.75863537041151,6.8564737936534,6.9543122168953,TRUE
"1145",-60.009032,-34.713502,1968-05-20,10.2491353758338,"sisINTA","SP",0,30,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,8.93909089209472,TRUE
"1171",-60.053339,-34.736494,1968-05-22,9.77945790821502,"sisINTA","SP",0,30,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,8.52944759838698,TRUE
"1172",-60.036869,-34.739024,1968-05-23,10.7616806643442,"sisINTA","SP",0,30,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,9.38612264182772,TRUE
"1176",-60.435278,-34.908333,1968-04-23,9.3990374263963,"sisINTA","SP",0,30,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,8.19765246255433,TRUE
"1183",-60.239167,-34.819722,1967-10-25,8.77964689027306,"sisINTA","SP",0,30,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,8.49869818978432,TRUE
"1191",-60.23577,-31.633018,1972-10-10,8.92942256213722,"sisINTA","SP",0,30,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,7.96058021414533,TRUE
"1192",-59.876597,-31.345804,1973-04-10,10.9228705541257,"sisINTA","SP",0,30,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,9.83822950810102,TRUE
"1193",-59.610584,-31.450136,1973-04-12,7.5541512753636,"sisINTA","SP",0,30,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,6.80402405371999,TRUE
